size,time
100,3.916999958164524e-05
200,0.00020934300118824467
300,0.00048437300029036123
400,0.0008538910005881917
500,0.0013350360004551476
600,0.0019536540003173286
700,0.002636163999341079
800,0.003449821999311098
900,0.004366522000054829
1000,0.00541348299884703
2000,0.02173473500079126
3000,0.04913169999963429
4000,0.08710785699986445
5000,0.13655855499928293
6000,0.1953453369987983
7000,0.2658515359999001
8000,0.34648701200057985
9000,0.4385583079983917
10000,0.5420200730004581
20000,2.161132951001491
