size,time
100,0.00611021199999584
200,0.005913398000004122
300,0.007364664999997217
400,0.0125045799999981
500,0.01637231300000508
600,0.015917090000002077
700,0.027328675000006797
800,0.03284447000000057
900,0.05182208700000501
1000,0.03534684099999197
2000,0.06345172300000002
3000,0.09614267899999618
4000,0.13191962199999807
5000,0.18959015100000443
6000,0.24565357199999482
7000,0.32400771799999006
8000,0.34353587399999697
9000,0.3845736770000059
10000,0.46071601699999576
20000,1.520688371999995
30000,3.886233302999983
40000,7.79616651500001
