size,time
100,3.763800486922264e-05
200,0.00014617999840993434
300,0.0003309360035927966
400,0.0005994460079818964
500,0.0009289919980801642
600,0.0013270880008349195
700,0.0018222630023956299
800,0.0023922219988889992
900,0.0030625859944848344
1000,0.0037270069879014045
2000,0.014792115995078348
3000,0.03309684900159482
4000,0.058784676002687775
5000,0.09505442999943625
6000,0.13274648900551256
7000,0.1801775789936073
8000,0.23664874100359157
9000,0.3001498360099504
10000,0.3703427589935018
20000,1.4919089210015954
30000,3.3501912760111736
40000,5.927956504994654
100,0.000695
1000,0.013323
10000,1.102460
10000,1.101418
20000,4.409922
20000,4.407512
20000,1.530988
30000,3.429857
35000,4.672342
