size,time
100,3.7667996366508305e-05
200,0.00014771199494134635
300,0.0003309479943709448
400,0.0005889489984838292
500,0.0009305059938924387
600,0.0013401600008364767
700,0.001838960000895895
800,0.0023891610035207123
900,0.0032229030039161444
1000,0.0037616079935105518
2000,0.015003149004769512
3000,0.034043154009850696
4000,0.060461255998234265
5000,0.09538927700486965
6000,0.1357626670069294
7000,0.18524960200011265
8000,0.24378322598931845
9000,0.30828394900891
10000,0.38019449899729807
20000,1.5201111170026707
30000,3.4111011729983147
40000,6.0173147089954
