size,time
100,0.000188563994015567
200,0.00016993199824355543
300,0.0002351420116610825
400,0.0003860950091620907
500,0.0005384079995565116
600,0.0007528179994551465
700,0.0009876359981717542
800,0.0012550140090752393
900,0.00170890599838458
1000,0.0019371759990463033
2000,0.007657799011212774
3000,0.017458779009757563
4000,0.030480119996354915
5000,0.04776931800006423
6000,0.07004464000056032
7000,0.09333479098859243
8000,0.12200841000594664
9000,0.1544052789977286
10000,0.1905526680056937
20000,0.7614606599963736
30000,1.712817104998976
40000,3.059135609990335
