size,time
100,0.00013576200217357837
200,0.0005287380008667242
300,0.0011888910012203269
400,0.002108421998855192
500,0.0035211600006732624
600,0.004700867000792641
700,0.006394574000296416
800,0.00866209600280854
900,0.01062096999885398
1000,0.013151289000234101
2000,0.052719743998750346
3000,0.11835564099965268
4000,0.20954004500163137
5000,0.32884151600228506
6000,0.4718746270009433
7000,0.6398112839997339
8000,0.8391370059980545
9000,1.069607350997103
10000,1.3252908590002335
20000,5.261366293998435
30000,11.929864673998964
40000,20.970692858998518
