size,time
100,3.228533356984068e-05
200,0.00012148500021188131
300,0.0002730929997293667
400,0.0004830376665267977
500,0.000738648999989285
600,0.0010775916662169038
700,0.0014439956667047227
800,0.001938477999829047
900,0.0024174996669898974
1000,0.0029321220002505775
2000,0.011716339999717698
3000,0.026788775666924874
4000,0.046799078333303136
5000,0.07329022800028422
6000,0.10614327766688803
7000,0.1438361156663935
8000,0.18783821433347234
9000,0.23874300233304288
10000,0.2935911433332876
20000,1.1780252529997597
30000,2.652682132999871
40000,4.71994495133337
50000,7.417732625000099
60000,10.63632281166671
70000,14.485371554999801
80000,18.867451299333272
90000,23.89229550066678
100000,29.501741864000298
200000,118.63205862266689
