size,time
100,0.00040723630008869803
200,0.0008104919998004334
300,0.0013106047998007852
400,0.0017210711997904583
500,0.0022484593000626774
600,0.002703212300184532
700,0.0033670500002699554
800,0.004000963899306953
900,0.00445849689986062
1000,0.005135722200611781
2000,0.013393324299977393
3000,0.024406954900041456
4000,0.03856418949981162
5000,0.05554243429978669
6000,0.07443873360025463
7000,0.09832300979978754
8000,0.12488398459991004
9000,0.15238678390032873
10000,0.18617082979981206
20000,0.6693304884005556
30000,1.447924575599427
40000,2.528365749900149
50000,3.909259864499836
60000,5.582712646900291
70000,7.5445020630999355
80000,9.802617839699815
90000,12.36230934679952
100000,15.216097957700185
