size,time
100,3.330899987001127e-05
200,0.00012766099977549553
300,0.0002845473339524081
400,0.0005051163334428566
500,0.0007874846663374532
600,0.0011331556667452485
700,0.0015389996669910033
800,0.0020067460000063875
900,0.002560865000305057
1000,0.0031342073334599263
2000,0.01253733233291617
3000,0.0284865179995298
4000,0.05006003133348713
5000,0.07820823100003811
6000,0.11322697400009929
7000,0.15329957966666066
8000,0.20027516166677137
9000,0.25489444633331004
10000,0.31324950466660084
20000,1.2538529509999232
30000,2.822590862333224
40000,5.017448833999879
50000,7.8802025833332054
60000,11.303929611666717
70000,15.38238675800009
80000,20.06931944633349
90000,25.40533423033321
100000,31.360365264666445
200000,125.4984927973328
